filename,size_bytes
AIM00_T_MPHX_PHRM_DTL_1.dat,264497162
AIM00_T_MPHX_PHRM_DTL_20.dat,264276086
AIM00_T_MPHX_PHRM_DTL_21.dat,264798071
AIM00_T_MPHX_PHRM_DTL_22.dat,264804212
AIM00_T_MPHX_PHRM_DTL_23.dat,264678455
AIM00_T_MPHX_PHRM_DTL_24.dat,264313466
AIM00_T_MPHX_PHRM_DTL_25.dat,264533207
AIM00_T_MPHX_PHRM_DTL_26.dat,264027776
AIM00_T_MPHX_PHRM_DTL_27.dat,264494225
AIM00_T_MPHX_PHRM_DTL_28.dat,264971354
AIM00_T_MPHX_PHRM_DTL_29.dat,264442694
AIM00_T_MPHX_PHRM_DTL_2.dat,264468860
AIM00_T_MPHX_PHRM_DTL_30.dat,264550562
AIM00_T_MPHX_PHRM_DTL_31.dat,264560174
AIM00_T_MPHX_PHRM_DTL_32.dat,264862952
AIM00_T_MPHX_PHRM_DTL_33.dat,264678722
AIM00_T_MPHX_PHRM_DTL_34.dat,265087232
AIM00_T_MPHX_PHRM_DTL_35.dat,264804212
AIM00_T_MPHX_PHRM_DTL_36.dat,264675785
AIM00_T_MPHX_PHRM_DTL_37.dat,264258731
AIM00_T_MPHX_PHRM_DTL_38.dat,264451238
AIM00_T_MPHX_PHRM_DTL_39.dat,264743603
AIM00_T_MPHX_PHRM_DTL_3.dat,264541751
AIM00_T_MPHX_PHRM_DTL_40.dat,264245915
AIM00_T_MPHX_PHRM_DTL_41.dat,264965747
AIM00_T_MPHX_PHRM_DTL_42.dat,264865622
AIM00_T_MPHX_PHRM_DTL_43.dat,264960941
AIM00_T_MPHX_PHRM_DTL_44.dat,264688334
AIM00_T_MPHX_PHRM_DTL_45.dat,264869360
AIM00_T_MPHX_PHRM_DTL_46.dat,264562577
AIM00_T_MPHX_PHRM_DTL_47.dat,264305189
AIM00_T_MPHX_PHRM_DTL_48.dat,264432548
AIM00_T_MPHX_PHRM_DTL_49.dat,264817028
AIM00_T_MPHX_PHRM_DTL_4.dat,264577262
AIM00_T_MPHX_PHRM_DTL_5.dat,264026708
AIM00_T_MPHX_PHRM_DTL_6.dat,264374075
AIM00_T_MPHX_PHRM_DTL_7.dat,264806348
AIM00_T_MPHX_PHRM_DTL_8.dat,264218948
AIM00_T_MPHX_PHRM_DTL_9.dat,264362060
AIM00_T_PARTY_IDENTIFIER_0.dat,103015511
AIM00_T_PARTY_IDENTIFIER_1.dat,102777159
AIM00_T_PARTY_IDENTIFIER_2.dat,102743130
AIM00_T_PARTY_IDENTIFIER_3.dat,102750388
AIM00_T_PARTY_IDENTIFIER_4.dat,102797946
AIM00_T_PARTY_IDENTIFIER_5.dat,102795003
AIM00_T_PARTY_IDENTIFIER_6.dat,102872081
AIM00_T_PD_PHARM_HDR_0.dat,229724519
AIM00_T_PD_PHYS_HDR_0.dat,494590951
AIM00_T_PHRM_HDR_KEYS_0.dat,155166210
AIM00_T_PHRM_HDR_KEYS_1.dat,155133596
AIM00_T_PHRM_HDR_OPT_0.dat,116457860
AIM00_T_PHRM_HDR_OPT_1.dat,116469980
AIM00_T_PHYS_HDR_KEY_0.dat,209897091
AIM00_T_PHYS_HDR_KEY_1.dat,209707524
AIM01_T_CLM_CR1_0.dat,142550155
AIM01_T_CLM_NTE_0.dat,35202972
AIM01_T_CLM_NTE_1.dat,35239680
AIM01_T_CLM_NTE_2.dat,35252296
AIM01_T_CLM_NTE_3.dat,35206582
AIM01_T_CLM_NTE_4.dat,35244924
AIM01_T_CLM_NTE_5.dat,35225202
AIM01_T_CLM_SBR_0.dat,175838232
AIM01_T_CLM_SBR_100.dat,175926024
AIM01_T_CLM_SBR_101.dat,175994700
AIM01_T_CLM_SBR_102.dat,176265864
AIM01_T_CLM_SBR_103.dat,175773096
AIM01_T_CLM_SBR_104.dat,175838232
AIM01_T_CLM_SBR_105.dat,176023374
AIM01_T_CLM_SBR_106.dat,175761591
AIM01_T_CLM_SBR_107.dat,176201082
AIM01_T_CLM_SBR_108.dat,175880181
AIM01_T_CLM_SBR_109.dat,175998948
AIM01_T_CLM_SBR_10.dat,175934166
AIM01_T_CLM_SBR_110.dat,175878057
AIM01_T_CLM_SBR_111.dat,176252412
AIM01_T_CLM_SBR_112.dat,176167275
AIM01_T_CLM_SBR_113.dat,176343921
AIM01_T_CLM_SBR_114.dat,175951689
AIM01_T_CLM_SBR_115.dat,175875048
AIM01_T_CLM_SBR_116.dat,175938591
AIM01_T_CLM_SBR_117.dat,176083023
AIM01_T_CLM_SBR_118.dat,176002134
AIM01_T_CLM_SBR_119.dat,175960185
AIM01_T_CLM_SBR_11.dat,175852746
AIM01_T_CLM_SBR_120.dat,175867083
AIM01_T_CLM_SBR_121.dat,175906554
AIM01_T_CLM_SBR_122.dat,175832037
AIM01_T_CLM_SBR_123.dat,175906554
AIM01_T_CLM_SBR_124.dat,176182143
AIM01_T_CLM_SBR_125.dat,176300379
AIM01_T_CLM_SBR_12.dat,175655037
AIM01_T_CLM_SBR_13.dat,176213649
AIM01_T_CLM_SBR_14.dat,176112936
AIM01_T_CLM_SBR_15.dat,175546713
AIM01_T_CLM_SBR_16.dat,176175948
AIM01_T_CLM_SBR_17.dat,176053287
AIM01_T_CLM_SBR_18.dat,176074527
AIM01_T_CLM_SBR_19.dat,175665657
AIM01_T_CLM_SBR_1.dat,175704066
AIM01_T_CLM_SBR_20.dat,175635744
AIM01_T_CLM_SBR_21.dat,176051163
AIM01_T_CLM_SBR_22.dat,175803540
AIM01_T_CLM_SBR_23.dat,176266041
AIM01_T_CLM_SBR_24.dat,175714863
AIM01_T_CLM_SBR_25.dat,175598751
AIM01_T_CLM_SBR_26.dat,176106387
AIM01_T_CLM_SBR_27.dat,176213118
AIM01_T_CLM_SBR_28.dat,175792566
AIM01_T_CLM_SBR_29.dat,175880004
AIM01_T_CLM_SBR_2.dat,175976292
AIM01_T_CLM_SBR_30.dat,176229402
AIM01_T_CLM_SBR_31.dat,175874517
AIM01_T_CLM_SBR_32.dat,175887084
AIM01_T_CLM_SBR_33.dat,175960893
AIM01_T_CLM_SBR_34.dat,176070102
AIM01_T_CLM_SBR_35.dat,175705128
AIM01_T_CLM_SBR_36.dat,175682649
AIM01_T_CLM_SBR_37.dat,175554678
AIM01_T_CLM_SBR_38.dat,176013816
AIM01_T_CLM_SBR_39.dat,175965849
AIM01_T_CLM_SBR_3.dat,175970805
AIM01_T_CLM_SBR_40.dat,175744068
AIM01_T_CLM_SBR_41.dat,176006382
AIM01_T_CLM_SBR_42.dat,175718226
AIM01_T_CLM_SBR_43.dat,175542642
AIM01_T_CLM_SBR_44.dat,175929033
AIM01_T_CLM_SBR_45.dat,176015055
AIM01_T_CLM_SBR_46.dat,175725660
AIM01_T_CLM_SBR_47.dat,175723182
AIM01_T_CLM_SBR_48.dat,176145327
AIM01_T_CLM_SBR_49.dat,175698402
AIM01_T_CLM_SBR_4.dat,175536978
AIM01_T_CLM_SBR_50.dat,176194887
AIM01_T_CLM_SBR_51.dat,175901067
AIM01_T_CLM_SBR_52.dat,175598043
AIM01_T_CLM_SBR_53.dat,175713801
AIM01_T_CLM_SBR_54.dat,175769379
AIM01_T_CLM_SBR_55.dat,175720881
AIM01_T_CLM_SBR_56.dat,176009037
AIM01_T_CLM_SBR_57.dat,176269050
AIM01_T_CLM_SBR_58.dat,176171877
AIM01_T_CLM_SBR_59.dat,176033817
AIM01_T_CLM_SBR_5.dat,175838763
AIM01_T_CLM_SBR_60.dat,175913811
AIM01_T_CLM_SBR_61.dat,176074527
AIM01_T_CLM_SBR_62.dat,176236836
AIM01_T_CLM_SBR_63.dat,175777167
AIM01_T_CLM_SBR_64.dat,176219490
AIM01_T_CLM_SBR_65.dat,176135238
AIM01_T_CLM_SBR_66.dat,175921068
AIM01_T_CLM_SBR_67.dat,176287281
AIM01_T_CLM_SBR_68.dat,175918590
AIM01_T_CLM_SBR_69.dat,175943016
AIM01_T_CLM_SBR_6.dat,175986558
AIM01_T_CLM_SBR_70.dat,176020719
AIM01_T_CLM_SBR_71.dat,176118423
AIM01_T_CLM_SBR_72.dat,176029215
AIM01_T_CLM_SBR_73.dat,175655214
AIM01_T_CLM_SBR_74.dat,176074881
AIM01_T_CLM_SBR_75.dat,175838586
AIM01_T_CLM_SBR_76.dat,176084439
AIM01_T_CLM_SBR_77.dat,176072580
AIM01_T_CLM_SBR_78.dat,175771326
AIM01_T_CLM_SBR_79.dat,175709907
AIM01_T_CLM_SBR_7.dat,175998417
AIM01_T_CLM_SBR_80.dat,175949919
AIM01_T_CLM_SBR_81.dat,176098776
AIM01_T_CLM_SBR_82.dat,175953813
